position  latitude(N)    longitude(E)
102-00    36.07666667    129.58833333
102-04    36.07666667    129.61500000
102-05    36.07666667    129.68833333
102-06    36.07666667    129.79666667
102-07    36.07666667    130.00000000
102-08    36.07666667    130.30666667
102-09    36.07666667    130.61500000
102-10    36.07666667    130.91833333
102-11    36.07666667    131.22666667
102-12    36.07666667    131.53833333
102-13    36.07666667    131.84333333
102-14    36.07666667    132.15000000
102-15    36.07666667    132.45500000
103-00    36.50500000    129.48333333
103-04    36.50500000    129.50166667
103-05    36.50500000    129.59000000
103-06    36.50500000    129.78833333
103-07    36.50500000    130.00000000
103-08    36.50500000    130.31166667
103-09    36.50500000    130.62166667
103-10    36.50500000    130.92666667
103-11    36.50500000    131.23333333
103-12    36.50500000    131.55166667
103-13    36.50500000    131.85333333
103-14    36.50500000    132.16833333
103-15    36.50500000    132.47500000
104-00    37.05666667    129.46000000
104-04    37.05666667    129.48000000
104-05    37.05666667    129.56000000
104-06    37.05666667    129.79333333
104-07    37.05666667    130.00000000
104-08    37.05666667    130.31166667
104-09    37.05666667    130.62666667
104-10    37.05666667    130.94000000
104-11    37.05666667    131.25500000
104-12    37.05666667    131.56333333
104-13    37.05666667    131.87666667
104-14    37.05666667    132.19333333
104-15    37.05666667    132.49166667
104-16    37.05666667    132.79333333
104-17    37.05666667    133.10166667
104-18    37.05666667    133.41166667
104-19    37.05666667    133.71833333
104-20    37.05666667    134.02833333
104-21    37.05666667    134.34000000
105-00    37.55333333    129.15000000
105-03    37.55333333    129.17166667
105-04    37.55333333    129.25833333
105-05    37.55333333    129.37666667
105-06    37.55333333    129.68833333
105-07    37.55333333    130.00000000
105-08    37.55333333    130.31166667
105-09    37.55333333    130.62500000
105-10    37.55333333    130.93166667
105-11    37.55333333    131.24333333
105-12    37.55333333    131.56333333
105-13    37.55333333    131.87000000
105-14    37.55333333    132.18666667
105-15    37.55333333    132.49666667
105-16    37.55333333    132.80666667
106-02    37.89500000    128.87500000
106-03    37.89500000    128.95333333
106-04    37.89500000    129.06333333
106-05    37.89500000    129.36833333
106-06    37.89500000    129.68833333
106-07    37.89500000    130.00000000
106-08    37.89500000    130.31500000
106-09    37.89500000    130.62833333
106-10    37.89500000    130.94166667
106-11    37.89500000    131.25166667
106-12    37.89500000    131.57833333
106-13    37.89500000    131.88333333
106-14    37.89500000    132.20333333
106-15    37.89500000    132.51500000
106-16    37.89500000    132.82666667
107-01    38.20333333    128.62333333
107-02    38.21000000    128.71166667
107-03    38.21000000    128.84333333
107-04    38.21000000    129.05833333
107-05    38.21000000    129.37166667
107-06    38.21000000    129.68500000
107-07    38.21000000    130.00000000
107-08    38.21000000    130.31500000
107-09    38.21000000    130.63166667
107-10    38.21000000    130.94333333
107-11    38.21000000    131.25333333
107-12    38.21000000    131.56833333
107-13    38.21000000    131.89333333
108-01    38.45000000    128.51666667
108-02    38.45000000    128.60000000
108-03    38.45000000    128.75000000
108-04    38.45000000    129.06666667
108-05    38.45000000    129.36666667
108-06    38.45000000    129.68333333
108-07    38.45000000    130.00000000
203-00    34.03333333    126.56666667
203-01    33.94333333    126.52333333
203-02    33.79166667    126.43833333
203-03    33.63833333    126.35500000
204-00    34.30000000    127.53333333
204-01    34.34666667    127.73166667
204-02    34.22833333    127.59000000
204-03    34.11166667    127.44666667
204-04    33.90166667    127.25333333
204-05    33.75833333    127.15333333
204-06    33.59666667    127.05333333
205-00    34.41666667    127.66666667
205-01    34.37166667    127.80833333
205-02    34.25000000    127.86833333
205-03    34.09166667    127.94833333
205-04    33.85833333    128.05000000
205-05    33.62166667    128.15333333
205-06    33.39666667    128.23833333
205-07    33.16166667    128.35500000
205-08    32.93166667    128.45000000
206-00    34.63333333    128.41666667
206-01    34.59166667    128.57500000
206-02    34.49333333    128.68666667
206-03    34.37333333    128.82833333
206-04    34.25500000    128.96666667
206-05    34.13500000    129.10500000
207-01    35.02166667    129.12000000
207-02    34.96000000    129.18666667
207-03    34.89833333    129.25666667
207-04    34.83666667    129.32500000
207-05    34.80000000    129.36333333
207-06    34.74000000    129.43000000
207-07    34.64333333    129.62166667
207-08    34.56000000    129.79833333
207-09    34.47666667    129.97333333
207-10    34.39500000    130.14500000
207-11    34.31000000    130.32166667
207-12    34.23000000    130.49500000
207-13    34.15000000    130.67166667
208-01    35.47500000    129.45500000
208-02    35.40500000    129.56333333
208-03    35.29666667    129.71500000
208-04    35.18500000    129.87833333
208-05    35.08000000    130.03333333
208-06    34.97000000    130.19833333
208-07    34.86666667    130.34833333
208-08    34.75500000    130.51000000
208-09    34.64833333    130.67500000
208-10    34.54166667    130.83000000
209-00    35.79500000    129.53166667
209-04    35.78833333    129.54666667
209-05    35.75666667    129.64000000
209-06    35.68833333    129.81666667
209-07    35.61333333    130.00500000
209-08    35.51333333    130.28166667
209-09    35.40666667    130.55833333
209-10    35.29666667    130.83333333
209-11    35.19000000    131.11000000
209-12    35.08833333    131.37666667
209-13    34.98166667    131.65166667
306-02    37.28166667    126.05166667
306-03    37.28166667    125.83833333
306-04    37.28166667    125.63000000
306-05    37.28166667    125.42000000
306-06    37.28166667    125.21166667
306-07    37.28166667    125.00000000
306-08    37.28166667    124.79000000
306-09    37.28166667    124.58000000
306-10    37.28166667    124.37166667
307-02    36.33000000    126.24000000
307-03    36.94166667    126.00000000
307-04    36.92500000    125.62833333
307-05    36.92500000    125.41666667
307-06    36.92500000    125.20833333
307-07    36.92500000    125.00000000
307-08    36.92500000    124.79166667
307-09    36.92500000    124.58000000
307-10    36.92500000    124.37166667
308-01    36.33000000    126.24000000
308-02    36.33000000    126.03833333
308-03    36.33000000    125.83333333
308-04    36.33000000    125.61666667
308-05    36.33000000    125.42166667
308-06    36.33000000    125.20666667
308-07    36.33000000    125.00000000
308-08    36.33000000    124.79166667
308-09    36.33000000    124.58500000
308-10    36.33000000    124.38333333
309-01    35.85500000    126.24500000
309-02    35.85500000    126.03333333
309-03    35.85500000    125.82166667
309-04    35.85500000    125.61666667
309-05    35.85500000    125.40666667
309-06    35.85500000    125.20500000
309-07    35.85500000    125.00000000
309-08    35.85500000    124.79666667
309-09    35.85500000    124.58500000
309-10    35.85500000    124.38000000
309-11    35.85500000    124.00000000
309-12    35.85500000    123.40000000
309-13    35.85500000    122.75500000
309-14    35.85500000    122.21666667
310-03    35.33500000    125.82166667
310-04    35.33500000    125.60833333
310-05    35.33500000    125.40666667
310-06    35.33500000    125.20166667
310-07    35.33500000    125.00000000
310-08    35.33500000    124.79833333
310-09    35.33500000    124.59333333
310-10    35.33500000    124.39166667
310-14    35.33500000    122.21666667
311-04    34.71666667    125.73166667
311-05    34.71666667    125.53166667
311-06    34.71666667    125.32333333
311-07    34.71666667    125.00000000
311-08    34.71666667    124.79833333
311-09    34.71666667    124.59666667
311-10    34.71666667    124.39000000
311-11    34.71666667    124.00000000
311-12    34.71666667    123.40000000
311-13    34.71666667    122.75500000
311-14    34.71666667    122.21666667
312-00    34.09833333    126.00833333
312-02    33.97500000    126.10000000
312-03    33.99666667    125.90000000
312-04    34.02166667    125.70000000
312-05    34.04333333    125.50000000
312-06    34.06833333    125.30000000
312-07    34.09166667    125.00000000
312-08    34.09166667    124.80000000
312-09    34.09166667    124.60000000
312-10    34.09166667    124.40000000
313-02    33.40666667    126.00000000
313-03    33.40666667    125.80000000
313-04    33.40666667    125.60000000
313-05    33.40666667    125.40000000
313-06    33.40666667    125.20000000
313-07    33.40666667    125.00000000
313-08    33.40666667    124.80000000
313-09    33.40666667    124.60000000
313-10    33.40666667    124.40000000
314-00    33.00000000    128.00000000
314-01    33.00000000    127.70000000
314-02    33.00000000    127.40000000
314-03    33.00000000    127.10000000
314-04    33.00000000    126.80000000
314-05    33.00000000    126.50000000
314-06    33.00000000    126.20000000
314-07    33.00000000    125.90000000
314-08    33.00000000    125.60000000
314-09    33.00000000    125.30000000
314-10    33.00000000    125.00000000
314-11    33.00000000    124.70000000
314-12    33.00000000    124.40000000
315-05    32.50000000    129.46666667
315-06    32.50000000    129.18166667
315-07    32.50000000    128.88500000
315-08    32.50000000    128.53333333
315-09    32.50000000    128.29333333
315-10    32.50000000    127.99666667
315-11    32.50000000    127.69666667
315-12    32.50000000    127.38500000
315-13    32.50000000    127.08500000
315-14    32.50000000    126.80000000
315-15    32.50000000    126.50000000
315-16    32.50000000    126.20000000
315-17    32.50000000    125.88500000
315-18    32.50000000    125.58666667
315-19    32.50000000    125.28666667
315-20    32.50000000    125.00000000
315-21    32.50000000    124.50000000
315-22    32.50000000    124.00000000
316-04    32.00000000    129.68833333
316-05    32.00000000    129.40166667
316-06    32.00000000    129.11666667
316-07    32.00000000    128.82000000
316-08    32.00000000    128.53333333
316-09    32.00000000    128.24166667
316-10    32.00000000    127.95000000
316-11    32.00000000    127.65166667
316-12    32.00000000    127.37000000
316-13    32.00000000    127.06833333
316-14    32.00000000    126.76833333
316-15    32.00000000    126.48333333
316-16    32.00000000    126.18333333
316-17    32.00000000    125.88500000
316-18    32.00000000    125.58500000
316-19    32.00000000    125.28500000
316-20    32.00000000    125.00000000
316-21    32.00000000    124.50000000
316-22    32.00000000    124.00000000
317-13    31.50000000    127.06833333
317-14    31.50000000    126.76833333
317-15    31.50000000    126.48333333
317-16    31.50000000    126.18333333
317-17    31.50000000    125.88500000
317-18    31.50000000    125.58500000
317-19    31.50000000    125.28500000
317-20    31.50000000    125.00000000
317-21    31.50000000    124.50000000
317-22    31.50000000    124.00000000
400-00    34.60000000    128.08333333
400-11    33.97166667    128.90000000
400-12    33.86166667    128.65000000
400-13    34.07666667    128.50000000
400-14    34.22500000    128.40000000
400-15    34.37000000    128.30666667
400-16    34.51666667    128.20333333
400-17    34.45000000    128.00833333
400-22    33.73833333    128.39833333
400-24    33.59333333    127.86500000
400-25    33.56000000    127.56666667
400-26    33.52833333    127.28000000
400-27    33.50500000    127.07500000
500-01    37.72666667    131.74000000
500-02    37.90333333    132.23833333
